studyId	pubmedId	isHarmonisedByOt
GCST006980	30598549	TRUE
GCST90480392	39024449	TRUE
GCST90469107	39789286	TRUE
GCST90469108	39789286	TRUE
GCST90469109	39789286	TRUE
GCST90469110	39789286	TRUE
GCST90469111	39789286	TRUE
GCST90469113	39789286	TRUE
GCST90469114	39789286	TRUE
GCST90469116	39789286	TRUE
GCST90469117	39789286	TRUE
GCST90469118	39789286	TRUE
GCST90469119	39789286	TRUE
GCST90469120	39789286	TRUE
GCST90469121	39789286	TRUE
GCST90468059	39789286	TRUE
GCST90468061	39789286	TRUE
GCST90468062	39789286	TRUE
GCST90468063	39789286	TRUE
GCST90468064	39789286	TRUE
GCST90468065	39789286	TRUE
GCST90468066	39789286	TRUE
GCST90468067	39789286	TRUE
GCST90468068	39789286	TRUE
GCST90468732	39789286	TRUE
GCST90468733	39789286	TRUE
GCST90468734	39789286	TRUE
GCST90468735	39789286	TRUE
GCST90468736	39789286	TRUE
GCST90468738	39789286	TRUE
GCST90468741	39789286	TRUE
GCST90468743	39789286	TRUE
GCST90468746	39789286	TRUE
GCST90468747	39789286	TRUE
GCST90468749	39789286	TRUE
GCST90468751	39789286	TRUE
GCST90468752	39789286	TRUE
GCST90468753	39789286	TRUE
GCST90468754	39789286	TRUE
GCST90468755	39789286	TRUE
GCST90468756	39789286	TRUE
GCST90468144	39789286	TRUE
GCST90468145	39789286	TRUE
GCST90468147	39789286	TRUE
GCST90468148	39789286	TRUE
GCST90468149	39789286	TRUE
GCST90468150	39789286	TRUE
GCST90468154	39789286	TRUE
GCST90468155	39789286	TRUE
GCST90468156	39789286	TRUE
GCST90468157	39789286	TRUE
GCST90468158	39789286	TRUE
GCST90468160	39789286	TRUE
GCST90468161	39789286	TRUE
GCST90468162	39789286	TRUE
GCST90468163	39789286	TRUE
GCST90468168	39789286	TRUE
GCST90468195	39789286	TRUE
GCST90468196	39789286	TRUE
GCST90468197	39789286	TRUE
GCST90468198	39789286	TRUE
GCST90468200	39789286	TRUE
GCST90468201	39789286	TRUE
GCST90468204	39789286	TRUE
GCST90468205	39789286	TRUE
GCST90468208	39789286	TRUE
GCST90468209	39789286	TRUE
GCST90468211	39789286	TRUE
GCST90468212	39789286	TRUE
GCST90468213	39789286	TRUE
GCST90468214	39789286	TRUE
GCST90468215	39789286	TRUE
GCST90468218	39789286	TRUE
GCST90468220	39789286	TRUE
GCST90468221	39789286	TRUE
GCST90468222	39789286	TRUE
GCST90468223	39789286	TRUE
GCST90468224	39789286	TRUE
GCST90468226	39789286	TRUE
GCST90468227	39789286	TRUE
GCST90468228	39789286	TRUE
GCST90468229	39789286	TRUE
GCST90468230	39789286	TRUE
GCST90468232	39789286	TRUE
GCST90468233	39789286	TRUE
GCST90468234	39789286	TRUE
GCST90468235	39789286	TRUE
GCST90468237	39789286	TRUE
GCST90468239	39789286	TRUE
GCST90468240	39789286	TRUE
GCST90468241	39789286	TRUE
GCST90468243	39789286	TRUE
GCST90468244	39789286	TRUE
GCST90468245	39789286	TRUE
GCST90468247	39789286	TRUE
GCST90468248	39789286	TRUE
GCST90468249	39789286	TRUE
GCST90468250	39789286	TRUE
GCST90468251	39789286	TRUE
GCST90468252	39789286	TRUE
GCST90468253	39789286	TRUE
GCST90468254	39789286	TRUE
GCST90468255	39789286	TRUE
GCST90468256	39789286	TRUE
GCST90468257	39789286	TRUE
GCST90468258	39789286	TRUE
GCST90468259	39789286	TRUE
GCST90468261	39789286	TRUE
GCST90468263	39789286	TRUE
GCST90468264	39789286	TRUE
GCST90468265	39789286	TRUE
GCST90468266	39789286	TRUE
GCST90468268	39789286	TRUE
GCST90468319	39789286	TRUE
GCST90468320	39789286	TRUE
GCST90468322	39789286	TRUE
GCST90468323	39789286	TRUE
GCST90468325	39789286	TRUE
GCST90468326	39789286	TRUE
GCST90468328	39789286	TRUE
GCST90468329	39789286	TRUE
GCST90468330	39789286	TRUE
GCST90468331	39789286	TRUE
GCST90468332	39789286	TRUE
GCST90468333	39789286	TRUE
GCST90468334	39789286	TRUE
GCST90468335	39789286	TRUE
GCST90468336	39789286	TRUE
GCST90468337	39789286	TRUE
GCST90468338	39789286	TRUE
GCST90468339	39789286	TRUE
GCST90468340	39789286	TRUE
GCST90468341	39789286	TRUE
GCST90468294	39789286	TRUE
GCST90468295	39789286	TRUE
GCST90468296	39789286	TRUE
GCST90468297	39789286	TRUE
GCST90468298	39789286	TRUE
GCST90468299	39789286	TRUE
GCST90468300	39789286	TRUE
GCST90468301	39789286	TRUE
GCST90468302	39789286	TRUE
GCST90468303	39789286	TRUE
GCST90468304	39789286	TRUE
GCST90468305	39789286	TRUE
GCST90468306	39789286	TRUE
GCST90468307	39789286	TRUE
GCST90468308	39789286	TRUE
GCST90468310	39789286	TRUE
GCST90468311	39789286	TRUE
GCST90468312	39789286	TRUE
GCST90468314	39789286	TRUE
GCST90468315	39789286	TRUE
GCST90468316	39789286	TRUE
GCST90468317	39789286	TRUE
GCST90468269	39789286	TRUE
GCST90468270	39789286	TRUE
GCST90468271	39789286	TRUE
GCST90468273	39789286	TRUE
GCST90468274	39789286	TRUE
GCST90468275	39789286	TRUE
GCST90468279	39789286	TRUE
GCST90468280	39789286	TRUE
GCST90468281	39789286	TRUE
GCST90468282	39789286	TRUE
GCST90468284	39789286	TRUE
GCST90468285	39789286	TRUE
GCST90468286	39789286	TRUE
GCST90468287	39789286	TRUE
GCST90468288	39789286	TRUE
GCST90468289	39789286	TRUE
GCST90468290	39789286	TRUE
GCST90468291	39789286	TRUE
GCST90468344	39789286	TRUE
GCST90468347	39789286	TRUE
GCST90468349	39789286	TRUE
GCST90468350	39789286	TRUE
GCST90468351	39789286	TRUE
GCST90468352	39789286	TRUE
GCST90468354	39789286	TRUE
GCST90468355	39789286	TRUE
GCST90468356	39789286	TRUE
GCST90468357	39789286	TRUE
GCST90468359	39789286	TRUE
GCST90468360	39789286	TRUE
GCST90468361	39789286	TRUE
GCST90468362	39789286	TRUE
GCST90468364	39789286	TRUE
GCST90468365	39789286	TRUE
GCST90468367	39789286	TRUE
GCST90468368	39789286	TRUE
GCST90469670	39789286	TRUE
GCST90469671	39789286	TRUE
GCST90469672	39789286	TRUE
GCST90469673	39789286	TRUE
GCST90469674	39789286	TRUE
GCST90469675	39789286	TRUE
GCST90469676	39789286	TRUE
GCST90469677	39789286	TRUE
GCST90469678	39789286	TRUE
GCST90469679	39789286	TRUE
GCST90469680	39789286	TRUE
GCST90469682	39789286	TRUE
GCST90469683	39789286	TRUE
GCST90469684	39789286	TRUE
GCST90469685	39789286	TRUE
GCST90469686	39789286	TRUE
GCST90469687	39789286	TRUE
GCST90469688	39789286	TRUE
GCST90469689	39789286	TRUE
GCST90469690	39789286	TRUE
GCST90469691	39789286	TRUE
GCST90469693	39789286	TRUE
GCST90469746	39789286	TRUE
GCST90469748	39789286	TRUE
GCST90469749	39789286	TRUE
GCST90469750	39789286	TRUE
GCST90469751	39789286	TRUE
GCST90469753	39789286	TRUE
GCST90469754	39789286	TRUE
GCST90469756	39789286	TRUE
GCST90469758	39789286	TRUE
GCST90469759	39789286	TRUE
GCST90469760	39789286	TRUE
GCST90469761	39789286	TRUE
GCST90469762	39789286	TRUE
GCST90469763	39789286	TRUE
GCST90469766	39789286	TRUE
GCST90469768	39789286	TRUE
GCST90469769	39789286	TRUE
GCST90469697	39789286	TRUE
GCST90469700	39789286	TRUE
GCST90469701	39789286	TRUE
GCST90469702	39789286	TRUE
GCST90469703	39789286	TRUE
GCST90469704	39789286	TRUE
GCST90469705	39789286	TRUE
GCST90469706	39789286	TRUE
GCST90469707	39789286	TRUE
GCST90469708	39789286	TRUE
GCST90469709	39789286	TRUE
GCST90469710	39789286	TRUE
GCST90469712	39789286	TRUE
GCST90469713	39789286	TRUE
GCST90469714	39789286	TRUE
GCST90469715	39789286	TRUE
GCST90469716	39789286	TRUE
GCST90469719	39789286	TRUE
GCST90469545	39789286	TRUE
GCST90469546	39789286	TRUE
GCST90469548	39789286	TRUE
GCST90469549	39789286	TRUE
GCST90469551	39789286	TRUE
GCST90469552	39789286	TRUE
GCST90469553	39789286	TRUE
GCST90469554	39789286	TRUE
GCST90469555	39789286	TRUE
GCST90469556	39789286	TRUE
GCST90469557	39789286	TRUE
GCST90469559	39789286	TRUE
GCST90469561	39789286	TRUE
GCST90469562	39789286	TRUE
GCST90469563	39789286	TRUE
GCST90469565	39789286	TRUE
GCST90469567	39789286	TRUE
GCST90469568	39789286	TRUE
GCST90469721	39789286	TRUE
GCST90469722	39789286	TRUE
GCST90469723	39789286	TRUE
GCST90469724	39789286	TRUE
GCST90469725	39789286	TRUE
GCST90469726	39789286	TRUE
GCST90469727	39789286	TRUE
GCST90469728	39789286	TRUE
GCST90469729	39789286	TRUE
GCST90469730	39789286	TRUE
GCST90469731	39789286	TRUE
GCST90469733	39789286	TRUE
GCST90469734	39789286	TRUE
GCST90469735	39789286	TRUE
GCST90469740	39789286	TRUE
GCST90469741	39789286	TRUE
GCST90469742	39789286	TRUE
GCST90469744	39789286	TRUE
GCST90469595	39789286	TRUE
GCST90469596	39789286	TRUE
GCST90469597	39789286	TRUE
GCST90469598	39789286	TRUE
GCST90469599	39789286	TRUE
GCST90469602	39789286	TRUE
GCST90469603	39789286	TRUE
GCST90469606	39789286	TRUE
GCST90469607	39789286	TRUE
GCST90469608	39789286	TRUE
GCST90469612	39789286	TRUE
GCST90469614	39789286	TRUE
GCST90469619	39789286	TRUE
GCST90469645	39789286	TRUE
GCST90469646	39789286	TRUE
GCST90469647	39789286	TRUE
GCST90469652	39789286	TRUE
GCST90469653	39789286	TRUE
GCST90469654	39789286	TRUE
GCST90469655	39789286	TRUE
GCST90469657	39789286	TRUE
GCST90469661	39789286	TRUE
GCST90469662	39789286	TRUE
GCST90469664	39789286	TRUE
GCST90469665	39789286	TRUE
GCST90469666	39789286	TRUE
GCST90469667	39789286	TRUE
GCST90469669	39789286	TRUE
GCST90469570	39789286	TRUE
GCST90469571	39789286	TRUE
GCST90469572	39789286	TRUE
GCST90469574	39789286	TRUE
GCST90469575	39789286	TRUE
GCST90469576	39789286	TRUE
GCST90469577	39789286	TRUE
GCST90469578	39789286	TRUE
GCST90469579	39789286	TRUE
GCST90469580	39789286	TRUE
GCST90469582	39789286	TRUE
GCST90469583	39789286	TRUE
GCST90469584	39789286	TRUE
GCST90469586	39789286	TRUE
GCST90469587	39789286	TRUE
GCST90469588	39789286	TRUE
GCST90469591	39789286	TRUE
GCST90469592	39789286	TRUE
GCST90469593	39789286	TRUE
GCST90469594	39789286	TRUE
GCST90469622	39789286	TRUE
GCST90469623	39789286	TRUE
GCST90469624	39789286	TRUE
GCST90469626	39789286	TRUE
GCST90469627	39789286	TRUE
GCST90469629	39789286	TRUE
GCST90469630	39789286	TRUE
GCST90469631	39789286	TRUE
GCST90469632	39789286	TRUE
GCST90469634	39789286	TRUE
GCST90469635	39789286	TRUE
GCST90469636	39789286	TRUE
GCST90469637	39789286	TRUE
GCST90469640	39789286	TRUE
GCST90469641	39789286	TRUE
GCST90469643	39789286	TRUE
GCST90468119	39789286	TRUE
GCST90468120	39789286	TRUE
GCST90468122	39789286	TRUE
GCST90468123	39789286	TRUE
GCST90468124	39789286	TRUE
GCST90468125	39789286	TRUE
GCST90468127	39789286	TRUE
GCST90468128	39789286	TRUE
